soil moisture,species,irrigation,velocity
0,Substrate only,slow ,0
0.07,Substrate only,slow ,0.93
0.13,Substrate only,slow ,1
0.17,Substrate only,slow ,0.93
0.2,Substrate only,slow ,0.93
0.22,Substrate only,slow ,0.87
0.24,Substrate only,slow ,0.8
0.3,Substrate only,slow ,0.87
0.37,Substrate only,slow ,0.93
0.43,Substrate only,slow ,0.93
0.48,Substrate only,slow ,1
0.52,Substrate only,slow ,1
0.52,Substrate only,slow ,0.87
0.52,Substrate only,slow ,0.73
0.52,Substrate only,slow ,0.53
0.9,Substrate only,slow ,0.47
0.92,Substrate only,slow ,0.47
0.94,Substrate only,slow ,0.47
0.94,Substrate only,slow ,0.47
0.96,Substrate only,slow ,0.47
0.97,Substrate only,slow ,0.47
0.99,Substrate only,slow ,0.47
0.99,Substrate only,slow ,0.47
1,Substrate only,slow ,0.33
0.013,Spathiphylum wallisii,slow ,0.222
0,Spathiphylum wallisii,slow ,0
0.05,Spathiphylum wallisii,slow ,0.556
0.06,Spathiphylum wallisii,slow ,0.667
0.097,Spathiphylum wallisii,slow ,0.778
0.137,Spathiphylum wallisii,slow ,0.889
0.14,Spathiphylum wallisii,slow ,1
0.161,Spathiphylum wallisii,slow ,0.889
0.171,Spathiphylum wallisii,slow ,0.889
0.231,Spathiphylum wallisii,slow ,1
0.341,Spathiphylum wallisii,slow ,0.667
0.448,Spathiphylum wallisii,slow ,0.889
0.508,Spathiphylum wallisii,slow ,0.889
0.569,Spathiphylum wallisii,slow ,0.778
0.585,Spathiphylum wallisii,slow ,0.556
0.595,Spathiphylum wallisii,slow ,0.778
0.676,Spathiphylum wallisii,slow ,0.778
0.686,Spathiphylum wallisii,slow ,0.889
0.676,Spathiphylum wallisii,slow ,0.889
0.786,Spathiphylum wallisii,slow ,0.889
0.786,Spathiphylum wallisii,slow ,0.778
0.789,Spathiphylum wallisii,slow ,0.667
0.9,Spathiphylum wallisii,slow ,0.778
0.987,Spathiphylum wallisii,slow ,0.778
1,Spathiphylum wallisii,slow ,0.889
0.009,Chlorophytum comosum,slow ,0
0,Chlorophytum comosum,slow ,0.353
0.315,Chlorophytum comosum,slow ,0.471
0.33,Chlorophytum comosum,slow ,0.647
0.625,Chlorophytum comosum,slow ,0.706
0.623,Chlorophytum comosum,slow ,0.765
0.692,Chlorophytum comosum,slow ,0.824
0.692,Chlorophytum comosum,slow ,0.824
0.695,Chlorophytum comosum,slow ,0.882
0.73,Chlorophytum comosum,slow ,1
0.76,Chlorophytum comosum,slow ,0.882
0.762,Chlorophytum comosum,slow ,0.882
0.778,Chlorophytum comosum,slow ,0.706
0.778,Chlorophytum comosum,slow ,0.471
0.799,Chlorophytum comosum,slow ,0.529
0.805,Chlorophytum comosum,slow ,0.471
0.953,Chlorophytum comosum,slow ,0.471
0.979,Chlorophytum comosum,slow ,0.529
0.979,Chlorophytum comosum,slow ,0.588
0.981,Chlorophytum comosum,slow ,0.471
0.987,Chlorophytum comosum,slow ,0.471
1,Chlorophytum comosum,slow ,0.471
0.025,Nematanthus wettsteinii,slow ,0.143
0,Nematanthus wettsteinii,slow ,0.114
0.002,Nematanthus wettsteinii,slow ,0.143
0.224,Nematanthus wettsteinii,slow ,0.171
0.226,Nematanthus wettsteinii,slow ,0.143
0.3,Nematanthus wettsteinii,slow ,0.171
0.336,Nematanthus wettsteinii,slow ,0.143
0.339,Nematanthus wettsteinii,slow ,0.229
0.428,Nematanthus wettsteinii,slow ,0.257
0.471,Nematanthus wettsteinii,slow ,0.143
0.473,Nematanthus wettsteinii,slow ,0.771
0.504,Nematanthus wettsteinii,slow ,0.171
0.504,Nematanthus wettsteinii,slow ,0.771
0.724,Nematanthus wettsteinii,slow ,0.143
0.729,Nematanthus wettsteinii,slow ,0.943
0.805,Nematanthus wettsteinii,slow ,0
0.843,Nematanthus wettsteinii,slow ,0.171
0.897,Nematanthus wettsteinii,slow ,0.8
0.935,Nematanthus wettsteinii,slow ,0.057
0.933,Nematanthus wettsteinii,slow ,0.057
0.973,Nematanthus wettsteinii,slow ,0.086
0.973,Nematanthus wettsteinii,slow ,0.486
0.996,Nematanthus wettsteinii,slow ,0.029
0.993,Nematanthus wettsteinii,slow ,0.029
0.998,Nematanthus wettsteinii,slow ,0.2
1,Nematanthus wettsteinii,slow ,1
0.143,Spathiphyllum Chico,slow ,0.649
0.114,Spathiphyllum Chico,slow ,0.865
0.143,Spathiphyllum Chico,slow ,1
0.171,Spathiphyllum Chico,slow ,0.649
0.143,Spathiphyllum Chico,slow ,0.351
0.171,Spathiphyllum Chico,slow ,0
0.143,Spathiphyllum Chico,slow ,0.135
0.229,Spathiphyllum Chico,slow ,0.135
0.257,Spathiphyllum Chico,slow ,0.108
0.143,Spathiphyllum Chico,slow ,0.189
0.771,Spathiphyllum Chico,slow ,0.243
0.171,Spathiphyllum Chico,slow ,0.054
0.771,Spathiphyllum Chico,slow ,0.703
0,Philodendron hederaceum &Philodendron erubescens,slow ,0
0.003,Philodendron hederaceum &Philodendron erubescens,slow ,0
0.174,Philodendron hederaceum &Philodendron erubescens,slow ,0.875
0.185,Philodendron hederaceum &Philodendron erubescens,slow ,0.938
0.842,Philodendron hederaceum &Philodendron erubescens,slow ,0.875
0.84,Philodendron hederaceum &Philodendron erubescens,slow ,0.813
0.878,Philodendron hederaceum &Philodendron erubescens,slow ,0.875
0.876,Philodendron hederaceum &Philodendron erubescens,slow ,0.938
0.897,Philodendron hederaceum &Philodendron erubescens,slow ,0.938
0.902,Philodendron hederaceum &Philodendron erubescens,slow ,0.875
0.929,Philodendron hederaceum &Philodendron erubescens,slow ,0.875
0.928,Philodendron hederaceum &Philodendron erubescens,slow ,1
0.949,Philodendron hederaceum &Philodendron erubescens,slow ,1
0.951,Philodendron hederaceum &Philodendron erubescens,slow ,1
0.967,Philodendron hederaceum &Philodendron erubescens,slow ,0.938
